"row_names","Wk","Day","Date","Time","Home","Score","Away","Attendance","Venue","Referee","Match Report","Notes","Season"
"1",1,"Sat","2015-08-08","12:45","Manchester Utd","1_0","Tottenham","75261","Old Trafford","Jonathan Moss","Match Report",,15
"2",1,"Sat","2015-08-08","15:00","Leicester City","4_2","Sunderland","32242","King Power Stadium","Lee Mason","Match Report",,15
"3",1,"Sat","2015-08-08","15:00","Everton","2_2","Watford","39063","Goodison Park","Mike Jones","Match Report",,15
"4",1,"Sat","2015-08-08","15:00","Norwich City","1_3","Crystal Palace","27036","Carrow Road","Simon Hooper","Match Report",,15
"5",1,"Sat","2015-08-08","15:00","Bournemouth","0_1","Aston Villa","11155","Vitality Stadium","Mark Clattenburg","Match Report",,15
"6",1,"Sat","2015-08-08","17:30","Chelsea","2_2","Swansea City","41232","Stamford Bridge","Michael Oliver","Match Report",,15
"7",1,"Sun","2015-08-09","13:30","Arsenal","0_2","West Ham","59996","Emirates Stadium","Martin Atkinson","Match Report",,15
"8",1,"Sun","2015-08-09","13:30","Newcastle Utd","2_2","Southampton","49019","St. James' Park","Craig Pawson","Match Report",,15
"9",1,"Sun","2015-08-09","16:00","Stoke City","0_1","Liverpool","27654","Bet365 Stadium","Anthony Taylor","Match Report",,15
"10",1,"Mon","2015-08-10","20:00","West Brom","0_3","Manchester City","24564","The Hawthorns","Mike Dean","Match Report",,15
"12",2,"Fri","2015-08-14","19:45","Aston Villa","0_1","Manchester Utd","42200","Villa Park","Mike Dean","Match Report",,15
"13",2,"Sat","2015-08-15","12:45","Southampton","0_3","Everton","30966","St. Mary's Stadium","Michael Oliver","Match Report",,15
"14",2,"Sat","2015-08-15","15:00","Sunderland","1_3","Norwich City","41379","Stadium of Light","Kevin Friend","Match Report",,15
"15",2,"Sat","2015-08-15","15:00","Watford","0_0","West Brom","20011","Vicarage Road Stadium","Paul Tierney","Match Report",,15
"16",2,"Sat","2015-08-15","15:00","Tottenham","2_2","Stoke City","36004","White Hart Lane","Robert Madley","Match Report",,15
"17",2,"Sat","2015-08-15","15:00","West Ham","1_2","Leicester City","34857","Boleyn Ground","Anthony Taylor","Match Report",,15
"18",2,"Sat","2015-08-15","15:00","Swansea City","2_0","Newcastle Utd","20678","Liberty Stadium","Mike Jones","Match Report",,15
"19",2,"Sun","2015-08-16","13:30","Crystal Palace","1_2","Arsenal","24732","Selhurst Park","Lee Mason","Match Report",,15
"20",2,"Sun","2015-08-16","16:00","Manchester City","3_0","Chelsea","54331","Etihad Stadium","Martin Atkinson","Match Report",,15
"21",2,"Mon","2015-08-17","20:00","Liverpool","1_0","Bournemouth","44102","Anfield","Craig Pawson","Match Report",,15
"23",3,"Sat","2015-08-22","12:45","Manchester Utd","0_0","Newcastle Utd","75354","Old Trafford","Craig Pawson","Match Report",,15
"24",3,"Sat","2015-08-22","15:00","Sunderland","1_1","Swansea City","39198","Stadium of Light","Niel Swarbrick","Match Report",,15
"25",3,"Sat","2015-08-22","15:00","Norwich City","1_1","Stoke City","26771","Carrow Road","Mike Dean","Match Report",,15
"26",3,"Sat","2015-08-22","15:00","West Ham","3_4","Bournemouth","34977","Boleyn Ground","Jonathan Moss","Match Report",,15
"27",3,"Sat","2015-08-22","15:00","Leicester City","1_1","Tottenham","31971","King Power Stadium","Martin Atkinson","Match Report",,15
"28",3,"Sat","2015-08-22","15:00","Crystal Palace","2_1","Aston Villa","25295","Selhurst Park","Keith Stroud","Match Report",,15
"29",3,"Sun","2015-08-23","13:30","West Brom","2_3","Chelsea","23256","The Hawthorns","Mark Clattenburg","Match Report",,15
"30",3,"Sun","2015-08-23","16:00","Watford","0_0","Southampton","20166","Vicarage Road Stadium","Andre Marriner","Match Report",,15
"31",3,"Sun","2015-08-23","16:00","Everton","0_2","Manchester City","38523","Goodison Park","Anthony Taylor","Match Report",,15
"32",3,"Mon","2015-08-24","20:00","Arsenal","0_0","Liverpool","60080","Emirates Stadium","Michael Oliver","Match Report",,15
